governorate,year,production,surface,yield,Temperature_C,Precipitation_mm,Soil_Moisture_Vol,Precipitation_CHIRPS,Autumn,Spring,Summer,Winter,ndvi_imputed_flag,production_lag1,production_lag2,production_lag3,prod_roll2_mean,prod_roll3_mean,prod_growth_lag1,surface_lag1,surface_change_ratio,ndvi_peak,ndvi_min,ndvi_amplitude,ndvi_spring_summer_diff,ndvi_winter_spring_diff,ndvi_mean,rain_temp_interaction,chirps_temp_interaction,moisture_temp_interaction,year_index,is_small_producer
ariana,2007,2400.0,2330.0,1.03,18.413513,137.5733,0.24079435,502.94836,0.3257834256207395,0.5488159729610411,0.2416408866417686,0.5999718903989155,0,4600.0,2450.0,2500.0,2398.0,2454.0,0.9495874587458746,2280.0,1.0219298245614035,0.5999718903989155,0.2416408866417686,0.3583310037571469,0.3071750863192725,0.0511559174378744,0.42905304390561616,2533.2077480028997,9261.046165188678,4.43386989405155,1,1
ariana,2008,2600.0,2320.0,1.1207,18.34259,89.583595,0.21948068,327.38623,0.2992120340057996,0.5113299918651636,0.2359387416204962,0.5433219252123248,0,2400.0,4600.0,2500.0,3500.0,2454.0,0.5217391304347826,2330.0,0.9957081545064378,0.5433219252123248,0.2359387416204962,0.3073831835918286,0.2753912502446674,0.03199193334716122,0.397450673175946,1643.1951538110502,6005.111388535701,4.025844126161201,2,1
ariana,2009,4900.0,2440.0,2.0082,18.315308,156.18808,0.24561103,639.61835,0.3030393987482588,0.5459219256276948,0.2499410628469799,0.5111847241250748,0,2600.0,2400.0,4600.0,2500.0,3200.0,1.0833333333333333,2320.0,1.0517241379310345,0.5459219256276948,0.2499410628469799,0.2959808627807149,0.2959808627807149,-0.03473720150262005,0.40252177783700205,2860.6327911286403,11714.8070827018,4.498441662647241,3,1
ariana,2010,3500.0,2440.0,1.4344,18.348083,121.64588,0.23439471,484.8029,0.2900499144618798,0.4875121688406954,0.235460436147719,0.5711060807487834,0,4900.0,2600.0,2400.0,3750.0,3300.0,1.8846153846153846,2440.0,1.0,0.5711060807487834,0.235460436147719,0.33564564460106444,0.2520517326929764,0.08359391190808801,0.39603215004976944,2231.96870284804,8895.2038478407,4.30069359384093,4,1
ariana,2011,2100.0,2440.0,0.8607,18.371338,168.00255,0.2414341,531.8851,0.2887302098509657,0.4862950479222633,0.2364164142807594,0.5559178971774874,0,3500.0,4900.0,2600.0,4200.0,3666.6666666666665,0.7142857142857143,2440.0,1.0,0.5559178971774874,0.2364164142807594,0.319501482896728,0.2498786336415039,0.0696228492552241,0.3918398923078689,3086.4316309119004,9771.4409492638,4.4354674558258,5,1
ariana,2012,2500.0,2440.0,1.0246,18.803406,110.63965,0.23629744,513.05597,0.2779622635808672,0.528334408939546,0.2632067809435041,0.5537435454267214,0,2100.0,3500.0,4900.0,2800.0,3500.0,0.6,2440.0,1.0,0.5537435454267214,0.2632067809435041,0.29053676448321736,0.2651276279960419,0.025409136487175465,0.40581174972265965,2080.4022586479,9647.19970463382,4.44319670108064,6,1
ariana,2013,1600.0,2440.0,0.6557,18.458557,106.704315,0.21815157,532.87585,0.3051110965436542,0.534470149750994,0.2520713208165286,0.6038517621858203,0,2500.0,2100.0,3500.0,2300.0,2700.0,1.1904761904761905,2440.0,1.0,0.6038517621858203,0.2520713208165286,0.35178044136929165,0.28239882893446544,0.06938161243482621,0.42387608232424934,1969.6076805734547,9836.11925114845,4.026763189484489,7,1
ariana,2014,2000.0,2460.0,0.813,18.96817,121.61395,0.2234168,450.21783,0.2576535139335839,0.5353860031438389,0.2472622241532693,0.5767127752062766,0,1600.0,2500.0,2100.0,2050.0,2066.6666666666665,0.64,2440.0,1.0081967213114753,0.5767127752062766,0.2472622241532693,0.32945055105300736,0.2881237789905696,0.04132677206243773,0.4042536291092422,2306.7940779715,8539.8083364711,4.237807843256,8,1
ariana,2015,1500.0,2480.0,0.6048,18.844788,109.9028,0.2267189,435.05524,0.2777739182149207,0.5203106636898609,0.2510928387696474,0.5144507539049069,0,2000.0,1600.0,2500.0,1800.0,2033.3333333333333,1.25,2460.0,1.008130081300813,0.5203106636898609,0.2510928387696474,0.2692178249202135,0.2692178249202135,-0.005859909784953987,0.390907043644834,2071.0949666064002,8198.523766089122,4.272469606093201,9,1
ariana,2016,3780.0,2480.0,1.5242,19.090393,110.5169,0.22338025,448.96115,0.2773687375305587,0.4412922384210991,0.2192047072839947,0.6073675704570553,0,1500.0,2000.0,1600.0,1750.0,1700.0,0.75,2480.0,1.0,0.6073675704570553,0.2192047072839947,0.3881628631730606,0.22208753113710442,0.16607533203595615,0.38630831342317695,2109.8110541417,8570.84479523195,4.26441676093825,10,1
